	ID2594-1-PAR1-TO-A01-S99	ID2594-10-PAR10-TO-B02-S108	ID2594-11-PAR11-TO-C02-S109	ID2594-12-PAR12-TO-D02-S110	ID2594-13-PAR13-TO-E02-S111	ID2594-14-PAR14-TO-F02-S112	ID2594-15-PAR15-TO-G02-S113	ID2594-16-PAR16-TO-H02-S114	ID2594-17-PAR17-TO-A03-S115	ID2594-18-PAR18-TO-B03-S116	ID2594-19-PAR19-TO-C03-S117	ID2594-2-PAR2-TO-B01-S100	ID2594-20-PAR20-TO-D03-S118	ID2594-21-PAR21-TO-E03-S119	ID2594-22-PAR1-X-F03-S120	ID2594-23-PAR2-X-G03-S121	ID2594-24-PAR3-X-H03-S122	ID2594-25-PAR4-X-A04-S123	ID2594-26-PAR5-X-B04-S124	ID2594-27-PAR6-X-C04-S125	ID2594-28-PAR7-X-D04-S126	ID2594-29-PAR8-X-E04-S127	ID2594-3-PAR3-TO-C01-S101	ID2594-30-PAR9-X-F04-S128	ID2594-31-PAR10-X-G04-S129	ID2594-32-PAR11-X-H04-S130	ID2594-33-PAR12-1-X-A05-S131	ID2594-34-PAR12-2-X-B05-S132	ID2594-35-PAR13-X-C05-S133	ID2594-36-PAR14-X-D05-S134	ID2594-37-PAR15-X-E05-S135	ID2594-38-PAR16-X-F05-S136	ID2594-39-PAR17-X-G05-S137	ID2594-4-PAR4-TO-D01-S102	ID2594-40-PAR18-X-H05-S138	ID2594-41-PAR19-X-A06-S139	ID2594-43-PAR21-X-C06-S140	ID2594-5-PAR5-TO-E01-S103	ID2594-6-PAR6-TO-F01-S104	ID2594-7-PAR7-TO-G01-S105	ID2594-8-PAR8-TO-H01-S106	ID2594-9-PAR9-TO-A02-S107
101637aba474a6614786486ad42acb11	79.0	977.0	73.0	1213.0	5944.0	2307.0	3352.0	3427.0	2242.0	1411.0	8977.0	239.0	6833.0	1099.0	0.0	0.0	117.0	69.0	147.0	0.0	12.0	343.0	155.0	0.0	0.0	17.0	0.0	61.0	1456.0	19.0	0.0	1449.0	433.0	1105.0	0.0	220.0	25.0	2537.0	2894.0	1799.0	802.0	3721.0
48d0964281b140f0e7db36f9f60e7738	0.0	0.0	16.0	13.0	6.0	15.0	0.0	0.0	3.0	7.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	764.0	4390.0	0.0	59.0	7.0	829.0	4724.0	68.0	9243.0	11491.0	2.0	0.0	9257.0	0.0	2.0	3.0	11633.0	2517.0	0.0	0.0	46.0	0.0	5.0	16.0
d2056d7ce9b69aef41f72d361c733f7b	0.0	3295.0	1838.0	1010.0	33.0	575.0	1817.0	1381.0	2669.0	0.0	119.0	0.0	21.0	1239.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	2890.0	0.0	0.0	0.0	3730.0	1827.0	2999.0	626.0	1335.0
18eb929cf9350e0af65cf863c2786858	403.0	426.0	2198.0	490.0	969.0	1119.0	2003.0	2343.0	1066.0	0.0	570.0	1724.0	301.0	370.0	0.0	17.0	0.0	33.0	43.0	0.0	0.0	0.0	119.0	0.0	0.0	107.0	0.0	12.0	0.0	9.0	0.0	1562.0	9.0	970.0	0.0	35.0	16.0	2342.0	2797.0	127.0	259.0	3592.0
4dabe2309d1c15a45600aa8889f29291	0.0	0.0	0.0	0.0	5.0	3.0	4.0	0.0	0.0	0.0	289.0	0.0	4.0	0.0	253.0	0.0	1826.0	8223.0	563.0	649.0	0.0	0.0	0.0	326.0	24.0	8.0	262.0	3277.0	0.0	403.0	677.0	0.0	0.0	0.0	3.0	3653.0	0.0	2.0	0.0	0.0	0.0	3.0
7e4c8c964ee846be66d272ff7d413421	0.0	0.0	99.0	0.0	272.0	309.0	124.0	0.0	166.0	166.0	50.0	139.0	101.0	250.0	0.0	0.0	0.0	0.0	34.0	0.0	8652.0	19.0	50.0	160.0	2594.0	281.0	0.0	0.0	0.0	0.0	2432.0	0.0	16.0	45.0	2352.0	0.0	0.0	81.0	112.0	36.0	197.0	58.0
adaee256a34ff7012e77d1a26d82b874	50.0	54.0	273.0	100.0	705.0	975.0	131.0	198.0	64.0	6469.0	450.0	87.0	1716.0	696.0	0.0	601.0	71.0	52.0	93.0	9.0	0.0	169.0	127.0	0.0	0.0	13.0	0.0	35.0	75.0	30.0	2462.0	11.0	38.0	198.0	385.0	141.0	25.0	507.0	361.0	505.0	0.0	21.0
04be702b895fe5ed0568344daf564276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17328.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35fd41579b5eec27ec14c400c586c480	0.0	9.0	138.0	0.0	19.0	19.0	26.0	0.0	12.0	4.0	113.0	0.0	4.0	24.0	6400.0	0.0	1286.0	364.0	397.0	304.0	12.0	9.0	17.0	177.0	0.0	448.0	1682.0	622.0	0.0	1422.0	0.0	2006.0	0.0	10.0	0.0	954.0	2.0	0.0	26.0	0.0	10.0	70.0
add7f5d621120b854b4f1ab2f611089e	543.0	1098.0	0.0	781.0	676.0	1863.0	704.0	100.0	192.0	72.0	457.0	876.0	23.0	226.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	1718.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	369.0	0.0	0.0	0.0	1380.0	368.0	3165.0	812.0	116.0
