Feature ID	Taxon	Consensus
101637aba474a6614786486ad42acb11	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.98
48d0964281b140f0e7db36f9f60e7738	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.6086956521739131
d2056d7ce9b69aef41f72d361c733f7b	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	0.5434782608695652
18eb929cf9350e0af65cf863c2786858	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	0.66
4dabe2309d1c15a45600aa8889f29291	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.78
7e4c8c964ee846be66d272ff7d413421	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	0.9090909090909091
adaee256a34ff7012e77d1a26d82b874	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales	0.52
04be702b895fe5ed0568344daf564276	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.6
35fd41579b5eec27ec14c400c586c480	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae	0.54
add7f5d621120b854b4f1ab2f611089e	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	1.0
8ac2b67c79adb6724b4b10ccb62f2db4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.52
f7cf33648c7d6bda19e991b97583cdab	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.52
051a89162d82a7db4858e64d44b0e575	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	1.0
e3c9c2a072b1dd41a3d26f812f5c5f0e	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae	0.54
75caefa0df8e0699a60f04fa154f0bba	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.68
12d746ea489d74ef50b3e84eecde1cfc	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.52
002b038514ea383d4a11fffa3178cb3c	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.52
38397a9fec954221d173407138f7d76a	k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.6
73b9a313c153726841a55e295f19bdb5	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.98
22a979bab1c71a28dcffbfc9ee7945cc	k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.58
73321ecd379c970215f1cd8c9bab7300	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_[XI]	0.58
0fb65b97cfcb0d59dfb10e73fc2e6e32	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.58
9b39a845425872b8466dd78a5748b19d	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae	0.78
5354b5f62e45014a1b54b8ad68cfa269	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae	0.54
a5b69f125c8e15c8b470bd65ffa241c1	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.54
2f97492ef9c9571e2e76166dde9d64eb	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.62
2753c5d7a364e43a146dee1d2a26d929	k__Bacteria	1.0
e63eb1425d8eb15d70973bfb7a34b9b5	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.54
1efa2e9ca8d9d0128928e26097941fb2	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae	0.78
3c3c05b27064591a63bdabfe89ee6022	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.52
d6403e5b4389d1c8f2e1c218c0a59134	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae	0.54
